Tweet,Sentiment
"One for the hearts to beat with pride. #JudaiPaeJaani out now: https://t.co/ZJ3lhqfnA6 

@akshaykumar https://t.co/B9phcXr1Hy",neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/3vZaulenhs,neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/Whsy2y7x34,neutral
If this Movie had released before #AvengersEndgame.. There was some chance to do 75 cr nett but is releasing 2 week https://t.co/usI7o9vFRq,neutral
"One for the hearts to beat with pride. #JudaiPaeJaani out now - https://t.co/7KcgfI96TI
Yet Another Best Song From https://t.co/UABsnJcgSq",neutral
".@akshaykumar's #Kesari is going steady at the box office
@ParineetiChopra @DharmaMovies @apoorvamehta18 https://t.co/qeOlNeccHx",neutral
".@akshaykumar is all set to create history with #Kesari

@ParineetiChopra @SinghAnurag79 @karanjohar https://t.co/NUH3ae74pv",neutral
"Nikhil Dwivedi poses for the paps as he got clicked at the screening of Kesari.

#NikhilDwivedi @nikhildwivedifc https://t.co/WscT5GgLJF",neutral
https://t.co/RMsAypA2Hg Uri: The Surgical Strikes Bumper Rs 245 Crore Box Office Collection Helps Bollywood Achiev https://t.co/5JMFV25qJg,neutral
This Movie is going to be a Big time Disaster #dedepyaardetrailer... Everyone will spend their money on https://t.co/XfbjhVbOP6,negative
"Your vitriol is understandable, Mr. DILIP Mandal from @ThePrintIndia. However, it would have been great if you had https://t.co/yL8vTB07m5",neutral
@akshaykumar sir it's amazing movie KESARI.,positive
Uri: The Surgical Strikes Bumper Rs 245 Crore Box Office Collection Helps Bollywood Achieve Record Q1 Figures: Mov https://t.co/Jrg9UNau3w,neutral
"One for the hearts to beat with pride. #JudaiPaeJaani out now - https://t.co/iDnG0MaDZt 

@akshaykumar https://t.co/M4oMn73Pr3",neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/FHX0wTMDn7,neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/CUjFeXL79R,neutral
Only good thing about #dedepyaardetrailer is @Rakulpreet is looking Good in this Movie.. Otherwise she looked Ugly https://t.co/93h4QKRHu7,positive
Scene 1 se Last Scene tak ek hi dialogue hai... 50 Years Hero &amp; 26 Years Heroine...... This will be biggest Flop of https://t.co/WHzP6lisTH,neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/4CETSROOKL,neutral
This song is really a treat #JudaiPaeJaani Heart touching #Kesari https://t.co/l7bMfUVKY7,neutral
@akshaykumar @ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies @iAmAzure https://t.co/eKAULLU4l1,neutral
@azeem2112 Loved it sir #JudaiPaeJaani #Kesari,positive
"Love, longing n war! #JudaaiPaeJaani from #Kesari out now! https://t.co/tNgy3Bt6ok    @akshaykumar @ParineetiChopra https://t.co/3dCOSLN8hZ",neutral
@artistshrey163 @Vickey09AkFan @anusharastogi23 @simashah14 @yadav212 @Fadtaleabhi @shingaladhaval @akshaykumarsir_ https://t.co/7Lk4ZId6Je,neutral
